"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","ID"
"275","FIFA Soccer 06","PS2","2005","Sports","Electronic Arts",0.78,2.55,0.04,0.84,4.21,80,32,"7.8",47,"EA Canada","E",191
"276","EyeToy Play","PS2","2003","Misc","Sony Computer Entertainment",0.88,2.3,0.2,0.83,4.2,80,32,"7.5",22,"SCEE, Zoe Mode","E",192
"277","Gran Turismo 5 Prologue","PS3","2007","Racing","Sony Computer Entertainment",1.28,1.82,0.57,0.52,4.19,80,67,"7.1",120,"Polyphony Digital","E",193
"278","Assassin's Creed: Revelations","X360","2011","Action","Ubisoft",2.25,1.47,0.04,0.43,4.19,80,77,"7.2",564,"Ubisoft Montreal","M",194
"281","Street Fighter IV","PS3","2009","Fighting","Capcom",2.03,1.04,0.58,0.52,4.16,94,61,"7.3",330,"Capcom","T",195
"284","Madden NFL 2003","PS2","2002","Sports","Electronic Arts",3.36,0.21,0.01,0.56,4.14,95,25,"7.7",65,"EA Sports","E",196
"285","Half-Life","PC","1997","Shooter","Vivendi Games",4.03,0,0.09,0,4.12,96,24,"9.1",3161,"Valve Software","M",197
"289","World of Warcraft: The Burning Crusade","PC","2007","Role-Playing","Activision",2.57,1.52,0,0,4.09,91,46,"7.9",785,"Blizzard Entertainment","T",198
"290","Battlefield 1","PS4","2016","Shooter","Electronic Arts",1.1,2.15,0.21,0.61,4.08,88,31,"8.4",809,"EA DICE","M",199
"291","God of War II","PS2","2007","Action","Sony Computer Entertainment",2.32,0.04,0.04,1.67,4.07,93,70,"8.9",709,"SCE Santa Monica","M",200
"293","Fallout: New Vegas","X360","2010","Role-Playing","Bethesda Softworks",2.66,1.03,0.04,0.33,4.05,84,81,"8.1",769,"Obsidian Entertainment","M",201
"294","Forza Motorsport 2","X360","2007","Racing","Microsoft Game Studios",2.35,1.27,0.03,0.41,4.05,90,66,"8.3",381,"Turn 10","E",202
"295","Carnival Games","Wii","2007","Misc","Take-Two Interactive",2.12,1.47,0.05,0.42,4.05,56,27,"6",44,"Cat Daddy Games","E",203
"296","Watch Dogs","PS4","2014","Action","Ubisoft",1.4,1.9,0.11,0.64,4.05,80,80,"6.3",2996,"Ubisoft Montreal","M",204
"298","Tekken Tag Tournament","PS2","2000","Fighting","Namco Bandai Games",1.68,1.51,0.51,0.35,4.05,85,25,"8.5",117,"Namco","T",205
"299","Far Cry 4","PS4","2014","Shooter","Ubisoft",1.13,2.18,0.1,0.63,4.04,85,83,"7.7",1653,"Ubisoft Montreal","M",206
"303","Left 4 Dead 2","X360","2009","Shooter","Electronic Arts",2.67,0.87,0.05,0.38,3.97,89,76,"8.6",681,"Valve Software","M",207
"304","The Witcher 3: Wild Hunt","PS4","2015","Role-Playing","Namco Bandai Games",1.02,2.13,0.23,0.59,3.97,92,79,"9.2",10179,"CD Projekt Red Studio","M",208
"305","Assassin's Creed: Unity","PS4","2014","Action","Ubisoft",1.19,2.07,0.08,0.62,3.96,70,40,"4.9",2050,"Ubisoft, Ubisoft Montreal","M",209
